KEY,FREQ,CURRENCY,CURRENCY_DENOM,EXR_TYPE,EXR_SUFFIX,TIME_PERIOD,OBS_VALUE,OBS_STATUS,OBS_CONF,OBS_PRE_BREAK,OBS_COM,TIME_FORMAT,BREAKS,COLLECTION,COMPILING_ORG,DISS_ORG,DOM_SER_IDS,PUBL_ECB,PUBL_MU,PUBL_PUBLIC,UNIT_INDEX_BASE,COMPILATION,COVERAGE,DECIMALS,NAT_TITLE,SOURCE_AGENCY,SOURCE_PUB,TITLE,TITLE_COMPL,UNIT,UNIT_MULT
EXR.M.PLN.EUR.SP00.A,M,PLN,EUR,SP00,A,2002-04,3.5943571428571,A,F,,,P1M,,A,,,,,,,99Q1=100,,,4,,4F0,,Polish zloty/Euro,"ECB reference exchange rate, Polish zloty/Euro, 2.15 pm (C.E.T.)",PLN,0
EXR.M.PLN.EUR.SP00.A,M,PLN,EUR,SP00,A,2002-05,3.7126409090909,A,F,,,P1M,,A,,,,,,,99Q1=100,,,4,,4F0,,Polish zloty/Euro,"ECB reference exchange rate, Polish zloty/Euro, 2.15 pm (C.E.T.)",PLN,0
EXR.M.PLN.EUR.SP00.A,M,PLN,EUR,SP00,A,2002-06,3.850165,A,F,,,P1M,,A,,,,,,,99Q1=100,,,4,,4F0,,Polish zloty/Euro,"ECB reference exchange rate, Polish zloty/Euro, 2.15 pm (C.E.T.)",PLN,0
EXR.M.PLN.EUR.SP00.A,M,PLN,EUR,SP00,A,2002-07,4.0882391304348,A,F,,,P1M,,A,,,,,,,99Q1=100,,,4,,4F0,,Polish zloty/Euro,"ECB reference exchange rate, Polish zloty/Euro, 2.15 pm (C.E.T.)",PLN,0
EXR.M.PLN.EUR.SP00.A,M,PLN,EUR,SP00,A,2002-08,4.0836181818182,A,F,,,P1M,,A,,,,,,,99Q1=100,,,4,,4F0,,Polish zloty/Euro,"ECB reference exchange rate, Polish zloty/Euro, 2.15 pm (C.E.T.)",PLN,0
EXR.M.PLN.EUR.SP00.A,M,PLN,EUR,SP00,A,2002-09,4.0703,A,F,,,P1M,,A,,,,,,,99Q1=100,,,4,,4F0,,Polish zloty/Euro,"ECB reference exchange rate, Polish zloty/Euro, 2.15 pm (C.E.T.)",PLN,0
EXR.M.PLN.EUR.SP00.A,M,PLN,EUR,SP00,A,2002-10,4.0434086956522,A,F,,,P1M,,A,,,,,,,99Q1=100,,,4,,4F0,,Polish zloty/Euro,"ECB reference exchange rate, Polish zloty/Euro, 2.15 pm (C.E.T.)",PLN,0
EXR.M.PLN.EUR.SP00.A,M,PLN,EUR,SP00,A,2002-11,3.9569238095238,A,F,,,P1M,,A,,,,,,,99Q1=100,,,4,,4F0,,Polish zloty/Euro,"ECB reference exchange rate, Polish zloty/Euro, 2.15 pm (C.E.T.)",PLN,0
EXR.M.PLN.EUR.SP00.A,M,PLN,EUR,SP00,A,2002-12,3.98576,A,F,,,P1M,,A,,,,,,,99Q1=100,,,4,,4F0,,Polish zloty/Euro,"ECB reference exchange rate, Polish zloty/Euro, 2.15 pm (C.E.T.)",PLN,0
EXR.M.PLN.EUR.SP00.A,M,PLN,EUR,SP00,A,2003-01,4.0704045454545,A,F,,,P1M,,A,,,,,,,99Q1=100,,,4,,4F0,,Polish zloty/Euro,"ECB reference exchange rate, Polish zloty/Euro, 2.15 pm (C.E.T.)",PLN,0
EXR.M.PLN.EUR.SP00.A,M,PLN,EUR,SP00,A,2003-02,4.16556,A,F,,,P1M,,A,,,,,,,99Q1=100,,,4,,4F0,,Polish zloty/Euro,"ECB reference exchange rate, Polish zloty/Euro, 2.15 pm (C.E.T.)",PLN,0
EXR.M.PLN.EUR.SP00.A,M,PLN,EUR,SP00,A,2003-03,4.3363,A,F,,,P1M,,A,,,,,,,99Q1=100,,,4,,4F0,,Polish zloty/Euro,"ECB reference exchange rate, Polish zloty/Euro, 2.15 pm (C.E.T.)",PLN,0
EXR.M.PLN.EUR.SP00.A,M,PLN,EUR,SP00,A,2003-04,4.29706,A,F,,,P1M,,A,,,,,,,99Q1=100,,,4,,4F0,,Polish zloty/Euro,"ECB reference exchange rate, Polish zloty/Euro, 2.15 pm (C.E.T.)",PLN,0
EXR.M.PLN.EUR.SP00.A,M,PLN,EUR,SP00,A,2003-05,4.3342904761905,A,F,,,P1M,,A,,,,,,,99Q1=100,,,4,,4F0,,Polish zloty/Euro,"ECB reference exchange rate, Polish zloty/Euro, 2.15 pm (C.E.T.)",PLN,0
EXR.M.PLN.EUR.SP00.A,M,PLN,EUR,SP00,A,2003-06,4.4339047619048,A,F,,,P1M,,A,,,,,,,99Q1=100,,,4,,4F0,,Polish zloty/Euro,"ECB reference exchange rate, Polish zloty/Euro, 2.15 pm (C.E.T.)",PLN,0
EXR.M.PLN.EUR.SP00.A,M,PLN,EUR,SP00,A,2003-07,4.4367695652174,A,F,,,P1M,,A,,,,,,,99Q1=100,,,4,,4F0,,Polish zloty/Euro,"ECB reference exchange rate, Polish zloty/Euro, 2.15 pm (C.E.T.)",PLN,0
EXR.M.PLN.EUR.SP00.A,M,PLN,EUR,SP00,A,2003-08,4.3698714285714,A,F,,,P1M,,A,,,,,,,99Q1=100,,,4,,4F0,,Polish zloty/Euro,"ECB reference exchange rate, Polish zloty/Euro, 2.15 pm (C.E.T.)",PLN,0
EXR.M.PLN.EUR.SP00.A,M,PLN,EUR,SP00,A,2003-09,4.4634590909091,A,F,,,P1M,,A,,,,,,,99Q1=100,,,4,,4F0,,Polish zloty/Euro,"ECB reference exchange rate, Polish zloty/Euro, 2.15 pm (C.E.T.)",PLN,0
EXR.M.PLN.EUR.SP00.A,M,PLN,EUR,SP00,A,2003-10,4.5951869565217,A,F,,,P1M,,A,,,,,,,99Q1=100,,,4,,4F0,,Polish zloty/Euro,"ECB reference exchange rate, Polish zloty/Euro, 2.15 pm (C.E.T.)",PLN,0
EXR.M.PLN.EUR.SP00.A,M,PLN,EUR,SP00,A,2003-11,4.617445,A,F,,,P1M,,A,,,,,,,99Q1=100,,,4,,4F0,,Polish zloty/Euro,"ECB reference exchange rate, Polish zloty/Euro, 2.15 pm (C.E.T.)",PLN,0
EXR.M.PLN.EUR.SP00.A,M,PLN,EUR,SP00,A,2003-12,4.659480952381,A,F,,,P1M,,A,,,,,,,99Q1=100,,,4,,4F0,,Polish zloty/Euro,"ECB reference exchange rate, Polish zloty/Euro, 2.15 pm (C.E.T.)",PLN,0
EXR.M.PLN.EUR.SP00.A,M,PLN,EUR,SP00,A,2004-01,4.712819047619,A,F,,,P1M,,A,,,,,,,99Q1=100,,,4,,4F0,,Polish zloty/Euro,"ECB reference exchange rate, Polish zloty/Euro, 2.15 pm (C.E.T.)",PLN,0
EXR.M.PLN.EUR.SP00.A,M,PLN,EUR,SP00,A,2004-02,4.856895,A,F,,,P1M,,A,,,,,,,99Q1=100,,,4,,4F0,,Polish zloty/Euro,"ECB reference exchange rate, Polish zloty/Euro, 2.15 pm (C.E.T.)",PLN,0
