outcome,horizon,beta_crisis_FX,se_crisis_FX,p_crisis_FX,beta_normal_FX,se_normal_FX,p_normal_FX,gamma_crisis_Gas,se_crisis_Gas,p_crisis_Gas,gamma_normal_Gas,se_normal_Gas,p_normal_Gas,nobs
HICP_Core,9,0.6821602014565816,0.24240956563620514,0.004891687039193183,0.2189914537842644,0.3323973643287707,0.5100086148177083,0.04974860239891214,0.018963159165917946,0.008704822925433259,-0.018250556428077186,0.0326656969962535,0.57636164155042,109
HICP_Core,10,0.6459293710361531,0.24909778676226457,0.009512188273720966,0.3827439109982597,0.37936907139003034,0.31302454871577723,0.06029787525604217,0.019717672411903333,0.0022277308277863063,-0.02835071008980629,0.03416823378213482,0.40668646613149306,108
HICP_Core,11,0.616392177484326,0.23880295380977523,0.00984646981805752,0.34549618817187056,0.37886545108706415,0.3618091565582282,0.06697579400700059,0.02036372509197494,0.001005527569554918,-0.026517903336302138,0.03630518051084156,0.465135628005547,107
HICP_Core,12,0.6858269380379995,0.2494301844269864,0.0059672649921762005,0.340049225733608,0.40666067673015616,0.4030429961522012,0.07311907867773347,0.01935282606590248,0.00015795841934742593,-0.033709805642671724,0.042625579348701585,0.4290402062217742,106
IP_Total,0,-0.7709581850844434,0.6282534224233264,0.21976801385272426,0.3984274107512607,0.7017826805443653,0.5702141279047386,0.003747409229369065,0.026687715856087278,0.8883305199947925,0.048141550918397814,0.04566638072497198,0.29179083524165017,117
IP_Total,1,-0.22677446747421592,0.8117287942636596,0.7799591952961803,-0.0019240981705748797,0.991622143427453,0.9984518223290896,0.005596784173451017,0.039067934822265026,0.886086627588849,0.04960370499760723,0.05896260149988983,0.4001944396230188,116
IP_Total,2,1.0016347090963353,1.315354499218606,0.4463619931392141,0.378858672854393,1.0074474632262613,0.7068737813824622,-0.009298232878405607,0.03641439290380446,0.7984566524682195,0.09467527036791618,0.08088042782375768,0.24177629621456787,115
IP_Total,3,2.6287184976169127,2.0421612359128445,0.19801630236694256,-0.016326851346283488,1.2460342319338829,0.9895455762565983,-0.045211456393679086,0.04494630915263949,0.31446406141220495,0.1354080534718026,0.09487739424561971,0.15352518114257574,114
IP_Total,4,0.5392772574824737,1.693920187092766,0.750211506233442,1.3393361819184746,1.2407381160979931,0.28037947863446033,-0.04439023343423339,0.06080233861714557,0.4653446828468285,0.11593929367953976,0.10581551575198062,0.2732215298542965,113
IP_Total,5,0.07646128655447915,1.7061180431678835,0.9642540183146938,1.7843728555306246,1.3805698195346745,0.1961874643219058,-0.03721811579316349,0.09403583379104649,0.6922625190225937,-0.00048157007910061556,0.17378264102970575,0.9977889803203509,112
IP_Total,6,-0.6455890534425874,1.6827981346847767,0.7012451226201475,2.7227708222945677,1.6830095137215353,0.1057059586198793,-0.010317633412527451,0.08446957096940756,0.9027832681354324,0.02989970778931269,0.1415696308897816,0.8327300987970003,111
IP_Total,7,1.3532052797755083,1.2023475073863312,0.26039019388819673,0.20915230732151688,1.2158710962756882,0.8634229944967643,-0.07964320854300658,0.1063532533075215,0.4539443615778582,0.14977507118032418,0.13612601333261778,0.27121545115504697,110
IP_Total,8,2.961187725935077,0.9530686319260108,0.0018899405991881512,-0.8294838045902778,1.1695377405399574,0.47817510003547414,-0.00270547261601914,0.07193884269618071,0.9700002668209025,0.1030124472938294,0.10561303292980574,0.32937364468663366,109
IP_Total,9,3.276294327279328,1.0671768065170608,0.0021401745000382225,0.06570903412478857,0.8472888641326018,0.9381843430287263,-0.008415701786137417,0.0848684750001791,0.92100988831463,0.06105470079258528,0.11924174460174829,0.6086338269045762,108
IP_Total,10,3.563096772774087,1.0767374473156628,0.0009357625687814515,0.5740423635449002,1.0088691157683327,0.5693589404881263,0.03299067784877241,0.05676434105695207,0.5611146566583722,0.10625227850084124,0.10028836825576294,0.289386869727006,107
IP_Total,11,2.398537094448991,0.9274222589841431,0.00970291755858238,1.6981931567715018,0.9285839826285865,0.06742977360663512,0.03769517658863907,0.06035829996881267,0.5322838438231228,0.0971393422290444,0.08266781335978925,0.23997215684614048,106
IP_Total,12,2.2834260434818887,0.8898888323382304,0.010288839426336205,2.143225317734577,1.08411047861547,0.04804800100888576,0.1997024243167001,0.06019658535376931,0.0009082555238064917,-0.123268007533859,0.09665940627226742,0.20220942235566863,105
