horizon,n_obs,r_squared,adj_r_squared,f_statistic,f_pvalue,DL_Gas_EUR_coef,DL_Gas_EUR_se,DL_Gas_EUR_tstat,DL_Gas_EUR_pvalue,DL_Gas_EUR_ci_lower,DL_Gas_EUR_ci_upper,DL_Gas_EUR_significant,DL_XR_Local_coef,DL_XR_Local_se,DL_XR_Local_tstat,DL_XR_Local_pvalue,DL_XR_Local_ci_lower,DL_XR_Local_ci_upper,DL_XR_Local_significant,Interaction_Gas_FX_coef,Interaction_Gas_FX_se,Interaction_Gas_FX_tstat,Interaction_Gas_FX_pvalue,Interaction_Gas_FX_ci_lower,Interaction_Gas_FX_ci_upper,Interaction_Gas_FX_significant,variable,country
10,119,0.43365872007545736,0.4033190086509283,7.833366568987247,4.7191690414465406e-07,0.042066800525466214,0.026532362177123032,1.585490211713506,0.11285499912018704,-0.009936629341694925,0.09407023039262735,False,0.31642553468296164,0.21294588872151482,1.485943384879221,0.1372940966973795,-0.1009484072112074,0.7337994765771307,False,0.012610163940718719,0.00828496557327576,1.522053873270693,0.12799558244171297,-0.003628368582901772,0.02884869646433921,False,HICP_Total,PL
11,118,0.4345949748588819,0.4040325410674701,7.143917553063566,1.8608805957738606e-06,0.04633669268317836,0.02949646737665613,1.570923463189012,0.11620042782813834,-0.01147638337506765,0.10414976874142437,False,0.3100691184509484,0.20466880613256516,1.5149798560417402,0.1297775055204328,-0.09108174156887927,0.7112199784707761,False,0.014414835325988917,0.007865571521030575,1.832649450513195,0.06685471916206986,-0.0010016848552310085,0.02983135550720884,False,HICP_Total,PL
12,117,0.4138264878960163,0.3818533872357991,7.58439347382398,8.008529394134355e-07,0.04855103528237387,0.0319578218943774,1.5192222875150274,0.1287065531075981,-0.014086295630605844,0.11118836619535358,False,0.36031270752761113,0.20110262537914653,1.7916857467588985,0.0731833189689096,-0.03384843821551603,0.7544738532707382,False,0.014920262016337886,0.008607254743878301,1.733451891492994,0.08301538123483275,-0.0019499572816635835,0.031790481314339356,False,HICP_Total,PL
0,128,0.4034308872605633,0.3738489477858805,10.524147228942208,2.2257281675682998e-09,-0.0032265176996629065,0.0015492619334268834,-2.082616005755737,0.03728623908827853,-0.006263071089179598,-0.00018996431014621507,True,0.0017589309924103125,0.018224781335568156,0.09651314657902194,0.9231130332081644,-0.03396164042530327,0.0374795024101239,False,0.001614160361814008,0.001024772337215925,1.575140451389737,0.11522402871889302,-0.00039439341912920513,0.003622714142757221,False,HICP_Core,PL
1,128,0.41080773548170013,0.38159159013368527,9.059409345241473,3.540207426099139e-08,-0.0035188345594490823,0.0030891958702891965,-1.1390778400592854,0.25467068928076564,-0.009573658465215908,0.002535989346317743,False,0.04713010914699417,0.039209867242713574,1.2019961418194403,0.22936502290654803,-0.029721230648724437,0.12398144894271278,False,0.002485195600994297,0.0021846227312836155,1.1375857100663207,0.2552935163877277,-0.0017966649523215895,0.006767056154310183,False,HICP_Core,PL
2,127,0.40286193360597455,0.3730050302862733,8.54157232653155,9.890728403425054e-08,-0.00260747140808305,0.004493242574430074,-0.5803095125381214,0.561705913693585,-0.011414226853965996,0.006199284037799896,False,0.09518295363238621,0.07067842197885109,1.3467045665064161,0.1780754009778196,-0.04334675344616193,0.23371266071093436,False,0.0027051551954169017,0.003073861881417494,0.8800509911556061,0.3788316868393189,-0.003319614092161386,0.008729924482995189,False,HICP_Core,PL
3,126,0.42690020583173116,0.3980044178904739,10.29948095191202,3.605370936486372e-09,-0.001946796126871585,0.0055595132017005194,-0.35017384728506584,0.7262082325875163,-0.012843442002204603,0.008949849748461433,False,0.12674067219893237,0.08805190611568034,1.439385900771117,0.1500412168112954,-0.04584106378780109,0.2993224081856658,False,0.002763124528381793,0.0032754872450832116,0.8435766411636866,0.3989060218025926,-0.003656830471981302,0.009183079528744888,False,HICP_Core,PL
4,125,0.4640046955615601,0.43675069703079195,11.463927740054139,4.4834388007422637e-10,0.0003669772462940712,0.006329208903953748,0.05798153479573518,0.9537633368773463,-0.012038272205455275,0.012772226698043418,False,0.128582181023314,0.09691975043337692,1.32668708336906,0.18461221547448803,-0.06138052982610476,0.31854489187273277,False,0.0021286664808792275,0.003579532091710011,0.5946773003681392,0.552059198065221,-0.004887216418872394,0.009144549380630848,False,HICP_Core,PL
5,124,0.4898268741345263,0.46366414973116865,12.616023889531796,6.165802140669591e-11,0.0039037413265878415,0.0075678729576722946,0.5158307160310133,0.6059726474992375,-0.010929289670449857,0.01873677232362554,False,0.13672289455386757,0.1018158968938477,1.3428442780051684,0.17932240257544485,-0.06283626335807391,0.33628205246580906,False,0.0016964465319086672,0.004172308256951193,0.40659664325672373,0.6843042630514419,-0.006481277651715672,0.009874170715533006,False,HICP_Core,PL
6,123,0.4784142911762901,0.45143572003023613,10.760838493355527,1.7176479117042178e-09,0.008538577920729692,0.008601603180165713,0.9926728473616,0.3208694113340599,-0.008320564312395105,0.02539772015385449,False,0.17669487118971838,0.117398811346123,1.5050822845963474,0.1323029229673593,-0.053406799048682674,0.40679654142811944,False,0.0018340710546846768,0.00505037869437904,0.36315515442949997,0.7164889855834515,-0.008064671186298241,0.011732813295667594,False,HICP_Core,PL
7,122,0.4632474118081238,0.43524292894593897,12.783452264352531,5.087432896934347e-11,0.013887076966117162,0.009808682222139709,1.4157943596920581,0.15683572146823557,-0.005337940189276665,0.03311209412151099,False,0.20349463752795793,0.13267397831805758,1.5337946453985343,0.12508018071929733,-0.05654635997543489,0.46353563503135076,False,0.0031289518215762875,0.0050942548711298465,0.6142118721441832,0.5390753291409547,-0.006855787725838211,0.013113691368990786,False,HICP_Core,PL
8,121,0.44800465616124285,0.4189522696434136,13.182369946566462,2.7182939099547103e-11,0.018063102086485486,0.011229345866705568,1.6085622707589453,0.10771208973018931,-0.003946415812257426,0.0400726199852284,False,0.18065819082040258,0.14858879680682294,1.2158264600208881,0.22405103691152406,-0.11057585092097039,0.47189223256177554,False,0.004341810808201011,0.005204966656212702,0.8341668823216342,0.404186950454713,-0.005859923837975886,0.014543545454377908,False,HICP_Core,PL
9,120,0.45299483625065906,0.4239503142816674,14.861427309344512,1.8198367619854082e-12,0.0208534606522546,0.012680331649440192,1.6445516748905562,0.1000622995071562,-0.003999989380648179,0.04570691068515738,False,0.23349282242910196,0.15634825173466374,1.4934149876223695,0.13532859215371454,-0.07294975097083894,0.5399353958290429,False,0.004444559648886751,0.004842851282520998,0.917756790287619,0.3587462086208001,-0.0050474288648544065,0.013936548162627908,False,HICP_Core,PL
10,119,0.4756936788907159,0.4476058402598614,18.485669041499854,7.724445008605637e-15,0.023388270620668224,0.01424781008754423,1.6415344166550057,0.10068652888648895,-0.004537437150918467,0.05131397839225492,False,0.27307563831423504,0.16275218263974686,1.6778616045886767,0.0933741195632619,-0.0459186396596688,0.5920699162881389,False,0.0046827187833890895,0.004694410228485589,0.9975094965016997,0.31851726658263724,-0.004518325264442665,0.013883762831220843,False,HICP_Core,PL
11,118,0.48783011137680676,0.46014525253230987,19.12588252082579,3.3599923170192835e-15,0.026357582315484986,0.016323505680231703,1.6147010839347382,0.1063754427113107,-0.0056364888177691495,0.05835165344873912,False,0.26786059330505535,0.1687610982983152,1.5872176467562695,0.1124633593770686,-0.06291115935964242,0.5986323459697531,False,0.006136019891931428,0.0044134698510476114,1.3902938275368395,0.16443967143440041,-0.0025143810161218907,0.014786420799984747,False,HICP_Core,PL
12,117,0.47044359537593083,0.4415587005782544,18.30439734648214,1.1967998389474323e-14,0.02734005357280481,0.018890657108396373,1.447279118768871,0.1478187650090519,-0.009685634359652081,0.0643657415052617,False,0.28387231142739977,0.18986370658577253,1.495137309452863,0.13487861052509015,-0.08826055348071438,0.6560051763355139,False,0.007585864230357554,0.00500459179292379,1.5157808157467583,0.12957478454247143,-0.002223135683773074,0.01739486414448818,False,HICP_Core,PL
0,128,0.12740427033631463,0.08413506060092524,1.2787975718147915,0.2720607820029962,0.03571675569722244,0.025735408221942126,1.3878449251397604,0.16518427147461412,-0.014724644417784122,0.086158155812229,False,-0.6523330133664246,0.5675846816538288,-1.149313986885016,0.2504265326977895,-1.7647989894079292,0.46013296267507997,False,0.025696304688690476,0.02164429855328916,1.187208937514196,0.23514521639276165,-0.016726520475756276,0.06811912985313723,False,IP_Total,PL
